project_name,file_path,mode,full_leak_count,partial_leak_count,leak_count,analysis_time,success,error_message
zkmopro_benchmark-app,zkmopro_benchmark-app\witness\circuits\sha256_512\sha256_512.circom,main,0,0,0,0.2503955364227295,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\templates\mopro-example-app\core\circuits\keccak256\keccak256_256_test.circom,main,0,0,0,17.637277841567993,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-example-app\core\circuits\keccak256\keccak256_256_test.circom,main,0,0,0,17.37215495109558,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-1000k-1000k.circom,main,1,0,1,0.25148582458496094,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-100k-100k.circom,main,1,0,1,0.25926661491394043,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-1200k-1200k.circom,main,1,0,1,0.28009462356567383,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-1600k-1600k.circom,main,1,0,1,0.25366783142089844,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-200k-200k.circom,main,1,0,1,0.26319050788879395,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-3200k-3200k.circom,main,1,0,1,0.25202226638793945,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-400k-400k.circom,main,1,0,1,0.27109766006469727,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\complex-circuit\complex-circuit-800k-800k.circom,main,1,0,1,0.2694878578186035,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\keccak256\keccak256_256_test.circom,main,0,0,0,18.007282495498657,True,
zkmopro_benchmark-app,zkmopro_benchmark-app\mopro-core\examples\circom\sha256_512\sha256_512.circom,main,0,0,0,0.2620692253112793,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\example.circom,main,2,0,2,0.25110530853271484,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\mixer_v05.circom,main,0,0,0,0.26668572425842285,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\multiplier_fixed.circom,main,2,0,2,0.25977444648742676,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\simple.circom,main,0,0,0,0.26700353622436523,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\simple_with_lib.circom,main,0,0,0,0.2581517696380615,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\test_echo.circom,main,2,0,2,0.2858881950378418,True,
Zyra-V21_ZKUzumaki,Zyra-V21_ZKUzumaki\circuits\test_simple.circom,main,2,0,2,0.26510095596313477,True,
