
================================================================================
Circomspect 隐私泄露评估测试报告
================================================================================

【总体统计】
  总分析文件数: 2373
  模式分布: Main=2373, Library=0
  运行状况: 成功=2365, 失败=8
  总用时: 868.89 秒
  实际被作为 main 入口分析的文件数: 1675
    其中显式指定了 public 信号的占比: 10/1675 (0.6%)
  存在隐私泄露的文件数: 583 (24.6%)
  风险信号总数: 1295 (FULL LEAK: 118, PARTIAL LEAK: 1295)

【按项目统计】
  - angianguyen_fese12: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - AntoineCyr_proof_of_solvency: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Argudo_RDCore: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - arvid220u_zkmao: 17 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - ashleshsortee_zeto-backend: 2 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - AsiniV_privachain-decentral: 4 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - AWI-20_VeriMint: 3 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - bahmez_heistDuel: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - baviet0501-cyber_zk-snark-homestay: 3 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - BigWhaleLabs_farcantasy-arena-contract: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - btogzhan2000_Correlated-Equilibrium-Sampling-on-Smart-Contracts: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - c6ai_v241031e: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - chentihe_zk-rollup-lite: 3 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - CleanPegasus_EthMail: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - CryptoKass_circom-rsa-verify: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - deevashwer_zebra: 6 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - developeruche_light-tornodo-cash: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - dfdao_arena: 7 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - dhananjaypai08_Zk-OS: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - dmpierre_eth-private-market: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - docknetwork_crypto-wasm-ts: 2 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Dohkku_hashdrop: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - doubleblind-xyz_double-blind: 2 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - EkuboProtocol_privacy-pools: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Elytro-eth_email-approver: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - factorgroup_nightmarket: 2 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - FlemingJohn_SilentVoice: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - glottologist_rare-skills-circom-bootcamp: 6 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - gnew1_GNEW3: 2 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - harkal_severance: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - holonym-foundation_id-hub-contracts: 6 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - HSG88_VIN-Pass: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - hzhdl_conflow: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - incendia-tech_ETHGlobal-Buenos-Aires-Incendia: 3 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - ingonyama-zk_icicle-snark: 7 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - ioedeveloper_zk-project: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Ionut2888_ZeroGate: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - iri031_zkp-mooc-lab: 7 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Ishitalisa_zk-digilocker: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - jackryanservia_mastermind-old: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - jeswr_circomkit-sparql: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - jimmychung28_On-Chain-Credit-Score-And-Lending: 3 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - Jubzinas_Ouragan: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - kendricktan_simple-zk-rollups: 12 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - KhannGia_FESE-1: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
  - KhannGia_fesee: 1 文件, 泄露文件: 0, 风险信号: 0 (FULL: 0, PARTIAL: 0)
